drug_id,smiles,score,A,B
D00002,[C@H]1([C@@H]([C@H](O[C@H]1[n+]1cc(ccc1)C(=O)N)COP(=O)(OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1cnc2c1ncnc2N)O)O)O)O)O)O,,,
D00005,[nH]1c(=O)nc2-c(c1=O)nc1c(n2C[C@@H]([C@@H]([C@@H](COP(=O)(OP(=O)(OC[C@@H]2[C@H]([C@H]([C@@H](O2)n2c3ncnc(c3nc2)N)O)O)O)O)O)O)O)cc(c(c1)C)C,,,
D00007,[C@H](CCC(=O)O)(C(=O)O)N,,,
D00014,OC(=O)[C@H](CCC(=O)N[C@H](C(=O)NCC(=O)O)CS)N,,,
D00018,[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,,,
D00021,c1(ccccc1)C[C@@H](C(=O)O)N,,,
D00027,[nH]1c(=O)cc[nH]c1=O,,,
D00029,[C@H]12[C@@H](NC(=O)N2)CS[C@H]1CCCCC(=O)O,,,
D00032,c1nc(c[nH]1)C[C@@H](C(=O)O)N,,,
D00035,C1CC[C@H](N1)C(=O)O,,,
D00036,c1(cccnc1)C(=O)N,,,
D00037,OC(=O)CC(CC(=O)O)(C(=O)O)O,,,
D00038,c1(ccccc1)C(=O)O,,,
D00039,[C@H](C(C)C)(C(=O)O)N,,,
D00041,OC(=O)[C@H]([C@@H](C)O)N,,,
D00043,P(=O)(OC(C)C)(OC(C)C)F,,,
D00045,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,,,
D00049,c1(cccnc1)C(=O)O,,,
D00050,c12c(cc(c(c1)C)C)n(c1-c(n2)c(=O)[nH]c(=O)n1)C[C@@H]([C@H](O)[C@H](O)CO)O,,,
D00052,N(CCN(CC(=O)O)CC(=O)O)(CC(=O)O)CC(=O)O,,,
D00054,n1(c2c(nc1)c(=O)[nH]cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,,,
D00055,c1(cc(=O)[nH]c(=O)[nH]1)C(=O)O,,,
D00065,[C@H]([C@H](CC)C)(C(=O)O)N,,,
D00070,c12c(nc(cn1)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(=O)[nH]c(n2)N,,,
D00086,S1SCCC1CCCCC(=O)O,,,
D00094,C1CCC(=C(C1(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C,,,
D00097,c1(c(cccc1)O)C(=O)O,,,
D00103,OC(=O)[C@@H]([C@H](C(=O)O)O)O,,,
D00107,O.C(=C\[C@@H]1CC[C@H]([C@@H](C1)OC)O)(/[C@@H]1[C@@H]([C@H](CC(=O)[C@@H](/C=C(\C)/C[C@H](C)C[C@@H]([C@@H]2[C@H](C[C@H]([C@](O2)(O)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1)C)OC)OC)CC=C)O)C)\C,,,
D00109,c1(c(cccc1)OC(=O)C)C(=O)O,,,
D00118,c12c(cc(cc2)OC)ccc(c1)[C@@H](C(=O)O)C,,,
D00120,c12c(C(=C(/C/1=C/c1ccc(cc1)S(=O)C)C)CC(=O)O)cc(cc2)F,,,
D00125,c12c(cc3c(c1)[C@H]([C@@H]1[C@@H]([C@@H]3c3cc(c(c(c3)OC)O)OC)C(=O)OC1)O[C@H]1[C@@H]([C@H]([C@H]3[C@H](O1)CO[C@H](O3)C)O)O)OCO2,,,
D00126,OC(=O)C(c1ccc(cc1)CC(C)C)C,,,
D00127,c12c(S(=O)(=O)N(C(=C1O)C(=O)Nc1ncccc1)C)cccc2,,,
D00129,C1C/C(=C\C=C/2\C[C@H](C[C@@H](C2=C)O)O)/[C@H]2[C@](C1)([C@H](CC2)[C@@H](CCCC(O)(C)C)C)C,,,
D00130,c1c(cc(c(c1)c1ccc(c(c1)C(=O)O)O)F)F,,,
